timestamp,absorbance_od600,cell_concentration_cells_per_ml,parent_well
2025-10-26T09:35:54.880648-08:00,0.16,160000000,B3
2025-10-26T09:33:50.522754-08:00,0.1587,158700000,B3
2025-10-26T09:31:48.090045-08:00,0.1576,157600000,B3
2025-10-26T09:29:43.814519-08:00,0.1566,156600000,B3
2025-10-26T09:27:39.262723-08:00,0.1558,155800000,B3
2025-10-26T09:25:34.833910-08:00,0.155,155000000,B3
2025-10-26T09:23:32.259938-08:00,0.1542,154200000,B3
2025-10-26T09:21:28.504555-08:00,0.1534,153400000,B3
2025-10-26T09:19:25.810449-08:00,0.1528,152800000,B3
2025-10-26T09:17:18.290316-08:00,0.1524,152400000,B3
2025-10-26T09:15:13.067329-08:00,0.1519,151900000,B3
2025-10-26T09:13:09.344456-08:00,0.1519,151900000,B3
2025-10-26T09:11:06.395765-08:00,0.1516,151600000,B3
2025-10-26T09:09:01.946510-08:00,0.1515,151500000,B3
2025-10-26T09:06:58.282760-08:00,0.1515,151500000,B3
2025-10-26T09:04:57.110474-08:00,0.152,152000000,B3

