timestamp,absorbance_od600,cell_concentration_cells_per_ml,parent_well
2025-10-26T16:50:53.668849+00:00,0.688,688000000,A1
2025-10-26T10:40:00.535611+00:00,0.5909,590900000,A1
2025-10-26T10:17:45.723109+00:00,0.5719,571900000,A1
2025-10-26T10:12:00.403895+00:00,0.5534,553400000,A1
2025-10-26T09:27:00.239843+00:00,0.5003,500300000,A1
2025-10-26T09:07:58.289154+00:00,0.4746,474600000,A1
2025-10-26T08:50:03.160616+00:00,0.4597,459700000,A1
2025-10-26T08:25:55.429519+00:00,0.4421,442100000,A1
2025-10-26T08:18:59.713491+00:00,0.4284,428400000,A1
2025-10-26T08:12:00.145279+00:00,0.4112,411200000,A1
2025-10-26T08:04:57.539908+00:00,0.3963,396300000,A1
2025-10-26T07:57:55.624169+00:00,0.3785,378500000,A1
2025-10-26T07:50:59.984713+00:00,0.366,366000000,A1
2025-10-26T07:43:55.699574+00:00,0.3445,344500000,A1
2025-10-26T07:36:59.568308+00:00,0.3198,319800000,A1
2025-10-26T07:29:55.543188+00:00,0.3051,305100000,A1
2025-10-26T07:20:59.219691+00:00,0.2858,285800000,A1
2025-10-26T07:11:00.350583+00:00,0.2631,263100000,A1
2025-10-26T07:03:59.535055+00:00,0.2517,251700000,A1
2025-10-26T06:55:56.301982+00:00,0.2459,245900000,A1
2025-10-26T06:42:55.494321+00:00,0.3339,333900000,A1
2025-10-26T06:32:45.242355+00:00,0.1868,186800000,A1
2025-10-26T05:49:41.067885+00:00,0.3991,399100000,A1
2025-10-26T05:44:46.502755+00:00,0.3986,398600000,A1
2025-10-26T05:39:41.162692+00:00,0.3995,399500000,A1
2025-10-26T05:34:41.706569+00:00,0.402,402000000,A1
2025-10-26T05:29:42.883790+00:00,0.4093,409300000,A1
2025-10-26T05:24:41.436775+00:00,0.4165,416500000,A1
2025-10-26T05:19:41.211816+00:00,0.4132,413200000,A1
2025-10-26T05:14:40.637833+00:00,0.3996,399600000,A1
2025-10-26T05:09:42.780499+00:00,0.3804,380400000,A1
2025-10-26T05:04:44.029957+00:00,0.3698,369800000,A1
2025-10-26T04:59:43.581140+00:00,0.3715,371500000,A1
2025-10-26T04:54:41.900348+00:00,0.3465,346500000,A1
2025-10-26T04:49:40.611494+00:00,0.3381,338100000,A1
2025-10-26T04:44:43.602202+00:00,0.3363,336300000,A1
2025-10-26T04:38:43.449861+00:00,0.3251,325100000,A1
2025-10-26T04:32:42.566013+00:00,0.3228,322800000,A1
2025-10-26T04:26:43.876833+00:00,0.3157,315700000,A1
2025-10-26T04:20:40.896977+00:00,0.3034,303400000,A1
2025-10-26T04:14:40.502046+00:00,0.2874,287400000,A1
2025-10-26T04:08:40.769491+00:00,0.2675,267500000,A1
2025-10-26T04:03:44.356398+00:00,0.2539,253900000,A1
2025-10-26T03:58:40.482859+00:00,0.2462,246200000,A1
2025-10-26T03:53:43.350143+00:00,0.3446,344600000,A1
2025-10-26T03:48:42.673894+00:00,0.3979,397900000,A1

