timestamp,absorbance_od600,cell_concentration_cells_per_ml,parent_well,consider_data
2025-10-26T08:50:53.668849-0800,0.5659,565900000,B2,False
2025-10-26T02:40:00.535611-0800,0.3981,398100000,B2,True
2025-10-26T02:17:45.723109-0800,0.388,388000000,B2,True
2025-10-26T02:12:00.403895-0800,0.3823,382300000,B2,True
2025-10-26T01:27:00.239843-0800,0.3731,373100000,B2,True
2025-10-26T01:07:58.289154-0800,0.3676,367600000,B2,True
2025-10-26T00:50:03.160616-0800,0.3633,363300000,B2,True
2025-10-26T00:25:55.429519-0800,0.3673,367300000,B2,True
2025-10-26T00:18:59.713491-0800,0.3615,361500000,B2,True
2025-10-26T00:12:00.145279-0800,0.3511,351100000,B2,True
2025-10-26T00:04:57.539908-0800,0.3492,349200000,B2,True
2025-10-25T23:57:55.624169-0800,0.3369,336900000,B2,True
2025-10-25T23:50:59.984713-0800,0.3185,318500000,B2,True
2025-10-25T23:43:55.699574-0800,0.3065,306500000,B2,True
2025-10-25T23:36:59.568308-0800,0.3001,300100000,B2,True
2025-10-25T23:29:55.543188-0800,0.2837,283700000,B2,False
2025-10-25T23:20:59.219691-0800,0.2645,264500000,B2,False
2025-10-25T23:11:00.350583-0800,0.241,241000000,B2,False
2025-10-25T23:03:59.535055-0800,0.2356,235600000,B2,False
2025-10-25T22:55:56.301982-0800,0.3018,301800000,B2,False
2025-10-25T22:42:55.494321-0800,0.3556,355600000,B2,False
2025-10-25T22:32:45.242355-0800,0.1589,158900000,B2,False
