timestamp,absorbance_od600,cell_concentration_cells_per_ml,parent_well
2025-10-26T08:50:53.668849-08:00,0.5781,578100000,B1
2025-10-26T02:40:00.535611-08:00,0.4385,438500000,B1
2025-10-26T02:17:45.723109-08:00,0.4287,428700000,B1
2025-10-26T02:12:00.403895-08:00,0.4276,427600000,B1
2025-10-26T01:27:00.239843-08:00,0.4075,407500000,B1
2025-10-26T01:07:58.289154-08:00,0.4016,401600000,B1
2025-10-26T00:50:03.160616-08:00,0.3948,394800000,B1
2025-10-26T00:25:55.429519-08:00,0.3888,388800000,B1
2025-10-26T00:18:59.713491-08:00,0.3864,386400000,B1
2025-10-26T00:12:00.145279-08:00,0.3852,385200000,B1
2025-10-26T00:04:57.539908-08:00,0.3847,384700000,B1
2025-10-25T23:57:55.624169-08:00,0.3809,380900000,B1
2025-10-25T23:50:59.984713-08:00,0.3816,381600000,B1
2025-10-25T23:43:55.699574-08:00,0.3771,377100000,B1
2025-10-25T23:36:59.568308-08:00,0.375,375000000,B1
2025-10-25T23:29:55.543188-08:00,0.3748,374800000,B1
2025-10-25T23:20:59.219691-08:00,0.3742,374200000,B1
2025-10-25T23:11:00.350583-08:00,0.3773,377300000,B1
2025-10-25T23:03:59.535055-08:00,0.3829,382900000,B1
2025-10-25T22:55:56.301982-08:00,0.4357,435700000,B1
2025-10-25T22:42:55.494321-08:00,0.5177,517700000,B1
2025-10-25T22:32:45.242355-08:00,0.353,353000000,B1
2025-10-25T21:49:41.067885-08:00,0.3625,362500000,B1
2025-10-25T21:44:46.502755-08:00,0.3697,369700000,B1
2025-10-25T21:39:41.162692-08:00,0.3759,375900000,B1
2025-10-25T21:34:41.706569-08:00,0.379,379000000,B1
2025-10-25T21:29:42.883790-08:00,0.3751,375100000,B1
2025-10-25T21:24:41.436775-08:00,0.3702,370200000,B1
2025-10-25T21:19:41.211816-08:00,0.3634,363400000,B1
2025-10-25T21:14:40.637833-08:00,0.354,354000000,B1
2025-10-25T21:09:42.780499-08:00,0.352,352000000,B1
2025-10-25T21:04:44.029957-08:00,0.3504,350400000,B1
2025-10-25T20:59:43.581140-08:00,0.3327,332700000,B1
2025-10-25T20:54:41.900348-08:00,0.3255,325500000,B1
2025-10-25T20:49:40.611494-08:00,0.3174,317400000,B1
2025-10-25T20:44:43.602202-08:00,0.309,309000000,B1
2025-10-25T20:38:43.449861-08:00,0.3033,303300000,B1
2025-10-25T20:32:42.566013-08:00,0.293,293000000,B1
2025-10-25T20:26:43.876833-08:00,0.2795,279500000,B1
2025-10-25T20:20:40.896977-08:00,0.2651,265100000,B1
2025-10-25T20:14:40.502046-08:00,0.2528,252800000,B1
2025-10-25T20:08:40.769491-08:00,0.2406,240600000,B1
2025-10-25T20:03:44.356398-08:00,0.2324,232400000,B1
2025-10-25T19:58:40.482859-08:00,0.2307,230700000,B1
2025-10-25T19:53:43.350143-08:00,0.3125,312500000,B1
2025-10-25T19:48:42.673894-08:00,0.3672,367200000,B1

