timestamp,absorbance_od600,cell_concentration_cells_per_ml,parent_well
2025-10-26T17:33:50.522754+00:00,0.1745,174500000,A3
2025-10-26T17:31:48.090045+00:00,0.1728,172800000,A3
2025-10-26T17:29:43.814519+00:00,0.1718,171800000,A3
2025-10-26T17:27:39.262723+00:00,0.1706,170600000,A3
2025-10-26T17:25:34.833910+00:00,0.1695,169500000,A3
2025-10-26T17:23:32.259938+00:00,0.1692,169200000,A3
2025-10-26T17:21:28.504555+00:00,0.1684,168400000,A3
2025-10-26T17:19:25.810449+00:00,0.1674,167400000,A3
2025-10-26T17:17:18.290316+00:00,0.1671,167100000,A3
2025-10-26T17:15:13.067329+00:00,0.1664,166400000,A3
2025-10-26T17:13:09.344456+00:00,0.1662,166200000,A3
2025-10-26T17:11:06.395765+00:00,0.1651,165100000,A3
2025-10-26T17:09:01.946510+00:00,0.1645,164500000,A3
2025-10-26T17:06:58.282760+00:00,0.1641,164100000,A3
2025-10-26T17:04:57.110474+00:00,0.1629,162900000,A3

