timestamp,absorbance_od600,cell_concentration_cells_per_ml,parent_well
2025-10-26T09:33:50.522754-08:00,0.1709,170900000,A3
2025-10-26T09:31:48.090045-08:00,0.1695,169500000,A3
2025-10-26T09:29:43.814519-08:00,0.1681,168100000,A3
2025-10-26T09:27:39.262723-08:00,0.1669,166900000,A3
2025-10-26T09:25:34.833910-08:00,0.1659,165900000,A3
2025-10-26T09:23:32.259938-08:00,0.1648,164800000,A3
2025-10-26T09:21:28.504555-08:00,0.1638,163800000,A3
2025-10-26T09:19:25.810449-08:00,0.1628,162800000,A3
2025-10-26T09:17:18.290316-08:00,0.1621,162100000,A3
2025-10-26T09:15:13.067329-08:00,0.1613,161300000,A3
2025-10-26T09:13:09.344456-08:00,0.1608,160800000,A3
2025-10-26T09:11:06.395765-08:00,0.1602,160200000,A3
2025-10-26T09:09:01.946510-08:00,0.1593,159300000,A3
2025-10-26T09:06:58.282760-08:00,0.1592,159200000,A3
2025-10-26T09:04:57.110474-08:00,0.1584,158400000,A3

