timestamp,absorbance_od600,cell_concentration_cells_per_ml,parent_well
2025-10-26T08:50:53.668849-08:00,0.5884,588400000,B1
2025-10-26T02:40:00.535611-08:00,0.4683,468300000,B1
2025-10-26T02:17:45.723109-08:00,0.4739,473900000,B1
2025-10-26T02:12:00.403895-08:00,0.4615,461500000,B1
2025-10-26T01:27:00.239843-08:00,0.4322,432200000,B1
2025-10-26T01:07:58.289154-08:00,0.4231,423100000,B1
2025-10-26T00:50:03.160616-08:00,0.4121,412100000,B1
2025-10-26T00:25:55.429519-08:00,0.4088,408800000,B1
2025-10-26T00:18:59.713491-08:00,0.4063,406300000,B1
2025-10-26T00:12:00.145279-08:00,0.4046,404600000,B1
2025-10-26T00:04:57.539908-08:00,0.4015,401500000,B1
2025-10-25T23:57:55.624169-08:00,0.3972,397200000,B1
2025-10-25T23:50:59.984713-08:00,0.3987,398700000,B1
2025-10-25T23:43:55.699574-08:00,0.3979,397900000,B1
2025-10-25T23:36:59.568308-08:00,0.3991,399100000,B1
2025-10-25T23:29:55.543188-08:00,0.3994,399400000,B1
2025-10-25T23:20:59.219691-08:00,0.4032,403200000,B1
2025-10-25T23:11:00.350583-08:00,0.4113,411300000,B1
2025-10-25T23:03:59.535055-08:00,0.4175,417500000,B1
2025-10-25T22:55:56.301982-08:00,0.5165,516500000,B1
2025-10-25T22:42:55.494321-08:00,0.5672,567200000,B1
2025-10-25T22:32:45.242355-08:00,0.3557,355700000,B1
2025-10-25T21:49:41.067885-08:00,0.387,387000000,B1
2025-10-25T21:44:46.502755-08:00,0.3926,392600000,B1
2025-10-25T21:39:41.162692-08:00,0.3951,395100000,B1
2025-10-25T21:34:41.706569-08:00,0.3952,395200000,B1
2025-10-25T21:29:42.883790-08:00,0.3942,394200000,B1
2025-10-25T21:24:41.436775-08:00,0.3887,388700000,B1
2025-10-25T21:19:41.211816-08:00,0.3795,379500000,B1
2025-10-25T21:14:40.637833-08:00,0.3702,370200000,B1
2025-10-25T21:09:42.780499-08:00,0.3643,364300000,B1
2025-10-25T21:04:44.029957-08:00,0.3646,364600000,B1
2025-10-25T20:59:43.581140-08:00,0.3512,351200000,B1
2025-10-25T20:54:41.900348-08:00,0.3405,340500000,B1
2025-10-25T20:49:40.611494-08:00,0.3317,331700000,B1
2025-10-25T20:44:43.602202-08:00,0.3281,328100000,B1
2025-10-25T20:38:43.449861-08:00,0.3253,325300000,B1
2025-10-25T20:32:42.566013-08:00,0.3134,313400000,B1
2025-10-25T20:26:43.876833-08:00,0.3008,300800000,B1
2025-10-25T20:20:40.896977-08:00,0.2867,286700000,B1
2025-10-25T20:14:40.502046-08:00,0.2695,269500000,B1
2025-10-25T20:08:40.769491-08:00,0.2528,252800000,B1
2025-10-25T20:03:44.356398-08:00,0.2446,244600000,B1
2025-10-25T19:58:40.482859-08:00,0.2407,240700000,B1
2025-10-25T19:53:43.350143-08:00,0.3519,351900000,B1
2025-10-25T19:48:42.673894-08:00,0.407,407000000,B1

