timestamp,absorbance_od600,cell_concentration_cells_per_ml,parent_well
2025-10-26T16:50:53.668849+00:00,0.5599,559900000,A2
2025-10-26T10:40:00.535611+00:00,0.3852,385200000,A2
2025-10-26T10:17:45.723109+00:00,0.3853,385300000,A2
2025-10-26T10:12:00.403895+00:00,0.3774,377400000,A2
2025-10-26T09:27:00.239843+00:00,0.3588,358800000,A2
2025-10-26T09:07:58.289154+00:00,0.3487,348700000,A2
2025-10-26T08:50:03.160616+00:00,0.3464,346400000,A2
2025-10-26T08:25:55.429519+00:00,0.3491,349100000,A2
2025-10-26T08:18:59.713491+00:00,0.3372,337200000,A2
2025-10-26T08:12:00.145279+00:00,0.3328,332800000,A2
2025-10-26T08:04:57.539908+00:00,0.33,330000000,A2
2025-10-26T07:57:55.624169+00:00,0.3232,323200000,A2
2025-10-26T07:50:59.984713+00:00,0.3012,301200000,A2
2025-10-26T07:43:55.699574+00:00,0.2911,291100000,A2
2025-10-26T07:36:59.568308+00:00,0.2791,279100000,A2
2025-10-26T07:29:55.543188+00:00,0.2769,276900000,A2
2025-10-26T07:20:59.219691+00:00,0.2564,256400000,A2
2025-10-26T07:11:00.350583+00:00,0.2228,222800000,A2
2025-10-26T07:03:59.535055+00:00,0.2154,215400000,A2
2025-10-26T06:55:56.301982+00:00,0.2095,209500000,A2
2025-10-26T06:42:55.494321+00:00,0.2796,279600000,A2
2025-10-26T06:32:45.242355+00:00,0.1517,151700000,A2

