timestamp,absorbance_od600,cell_concentration_cells_per_ml,parent_well
2025-10-26T17:33:50.522754+00:00,0.169,169000000,A3
2025-10-26T17:31:48.090045+00:00,0.1671,167100000,A3
2025-10-26T17:29:43.814519+00:00,0.1654,165400000,A3
2025-10-26T17:27:39.262723+00:00,0.1641,164100000,A3
2025-10-26T17:25:34.833910+00:00,0.1627,162700000,A3
2025-10-26T17:23:32.259938+00:00,0.1618,161800000,A3
2025-10-26T17:21:28.504555+00:00,0.1608,160800000,A3
2025-10-26T17:19:25.810449+00:00,0.16,160000000,A3
2025-10-26T17:17:18.290316+00:00,0.1597,159700000,A3
2025-10-26T17:15:13.067329+00:00,0.1592,159200000,A3
2025-10-26T17:13:09.344456+00:00,0.1595,159500000,A3
2025-10-26T17:11:06.395765+00:00,0.1586,158600000,A3
2025-10-26T17:09:01.946510+00:00,0.1581,158100000,A3
2025-10-26T17:06:58.282760+00:00,0.1579,157900000,A3
2025-10-26T17:04:57.110474+00:00,0.1567,156700000,A3

