source_well,destination_well,cell_volume_uL,media_volume_uL,total_volume_uL,mix_height_mm,mix_reps,mix_volume_uL
A4,A5,40,160,200,1,1,100
A4,B5,40,160,200,2,3,100
A4,C5,40,160,200,4,5,100
B4,D5,40,160,200,1,1,50
B4,E5,40,160,200,2,3,50
B4,F5,40,160,200,4,5,50
