source_well,destination_well,cell_volume_uL,media_volume_uL,total_volume_uL,mix_height_mm,mix_reps,mix_volume_uL
A2,A3,40,160,200,1,1,100
A2,B3,40,160,200,2,3,100
A2,C3,40,160,200,4,5,100
B2,D3,40,160,200,1,1,50
B2,E3,40,160,200,2,3,50
B2,F3,40,160,200,4,5,50
